url_name,zh_name,platinum1,platinum2,platinum3,platinum4,platinum5,platinum_avg
kulstar,杀星,10,15,20,20,25,18.0
heliocor,赫利俄光锤,100,100,140,150,200,138.0
nagantaka,噬蛇弩,9,19,40,40,50,31.6
ocucor,视使之触,270,280,280,290,295,283.0
falcor,猎鹰轮,32,38,40,40,48,39.6
paracesis,心智之殁,15,17,20,30,40,24.4
exergis,晶能放射器,11,15,15,20,20,16.2
battacor,武使之力,5,15,19,20,20,15.8
euphona_prime,悦音 Prime,10,15,15,15,20,15.0
fusilai,齐射玻刃,10,10,15,15,20,14.0
lato,拉托,30,35,40,40,40,37.0
magnus,麦格努斯,10,10,10,10,12,10.4
ack_and_brunt,认知 & 冲击,15,20,30,35,35,27.0
amphis,双头蛇,19,20,30,30,45,28.8
anku,夺魂死神,30,40,40,40,45,39.0
arca_titron,弧电振子锤,200,200,230,240,245,223.0
balla,宝拉,44,50,55,55,55,51.8
boltace,螺钉拐刃,16,20,20,25,30,22.2
broken_war,破碎的战争之剑,20,20,30,30,39,27.8
caustacyst,灼蚀变体镰,19,20,20,20,25,20.8
cerata,裸鳃刃,35,35,40,48,48,41.2
hate,憎恨,170,199,200,200,240,201.8
soma,月神,23,24,25,25,34,26.2
synapse,突触生化枪,10,19,20,20,21,18.0
tigris,猛虎,14,15,15,15,15,14.8
tonkor,征服榴炮,40,40,50,50,70,50.0
torid,托里德,560,580,580,598,600,583.6
vectis,守望者,20,24,25,25,25,23.8
veldt,草原猎手,10,10,15,15,20,14.0
vulkar,金工火神,10,10,10,11,15,11.2
zarr,沙皇,15,15,20,20,20,18.0
zenith,天穹之顶,40,49,49,50,50,47.6
zhuge,诸葛连弩,9,15,20,20,20,16.8
acrid,阿克里德,10,10,10,10,10,10.0
afuris,盗贼双枪,14,15,19,30,40,23.6
akbolto,螺钉双枪,10,15,15,20,20,16.0
akbronco,野马双枪,10,16,20,20,23,17.8
akjagara,觉醒双枪,20,20,20,30,30,24.0
aklato,拉托双枪,5,10,10,10,10,9.0
arca_scisco,弧电探知者,8,10,10,10,15,10.6
cycron,循环离子枪,29,30,30,30,30,29.8
detron,德特昂,15,19,19,19,20,18.4
embolist,安柏勒斯,10,20,20,20,20,18.0
dual_kamas,双短柄战镰,10,10,15,15,20,14.0
kuva_shildeg,赤毒·希尔德,15,20,20,30,35,24.0
kuva_ayanga,赤毒·怒雷,40,45,50,125,160,84.0
vermisplicer,虫置,15,20,20,25,30,22.0
sporelacer,孢射,15,15,20,20,20,18.0
argonak,氩格纳克,9,10,19,20,20,15.6
castanas,雷爆信镖,10,10,18,20,23,16.2
cestra,锡斯特,40,40,45,45,60,46.0
dual_toxocyst,毒囊双枪,290,290,299,300,300,295.8
hystrix,豪猪,9,20,20,20,20,17.8
fragor,重击巨锤,29,35,35,35,40,34.8
galatine,迦伦提恩,21,40,60,100,100,64.2
gazal_machete,加扎勒反曲刀,10,10,10,19,20,13.8
gram,格拉姆,18,25,25,28,28,24.8
guandao,关刀,19,20,35,40,45,31.8
gunsen,军扇,20,20,25,25,35,25.0
dual_skana,空刃双刀,15,15,20,20,20,18.0
jaw_sword,蛇颚刀,15,20,21,25,30,22.2
kesheg,怯薛,9,9,9,15,15,11.4
kestrel,红隼,8,10,10,10,15,10.6
kronsh,客隆什,40,50,89,100,100,75.8
ballistica,布里斯提卡,15,15,15,20,30,19.0
heat_dagger,烈焰匕首,10,10,10,10,10,10.0
jat_kittag,喷射战锤,19,20,25,30,30,24.8
sonicor,超音波冲击枪,10,10,15,15,15,13.0
tombfinger,墓指,20,20,21,30,35,25.2
gaze,凝目,9,10,10,15,20,12.8
pupacyst,毒囊骨茧,15,15,16,19,20,17.0
arca_plasmor,弧电离子枪,30,30,30,34,35,31.8
galvacord,电流刺索,10,10,12,15,15,12.4
bronco,野马,10,19,25,50,55,31.8
dual_cestra,锡斯特双枪,22,25,30,30,30,27.4
furis,盗贼,170,170,170,179,180,173.8
ankyros,甲龙双拳,8,10,10,20,20,13.6
atterax,阿特拉克斯,10,10,15,18,20,14.6
bo,玻之武杖,59,93,100,100,140,98.4
cassowar,鹤鸵长戟,10,15,15,20,20,16.0
ceramic_dagger,陶瓷匕首,300,300,310,320,333,312.6
halikar,哈利卡,10,20,40,60,80,42.0
hirudo,蚂蟥,19,20,25,25,100,37.8
mire,米尔,5,10,10,17,20,12.4
twin_krohkur,双子克鲁古尔,9,10,15,25,40,19.8
latron,拉特昂,129,130,130,150,160,139.8
lenz,楞次弓,15,15,15,18,20,16.6
miter,米特尔,20,25,25,25,25,24.0
mutalist_cernos,异融西诺斯,10,15,15,19,20,15.8
mutalist_quanta,异融量子枪,9,10,10,10,12,10.2
opticor,奥堤克光子枪,10,10,15,15,15,13.0
panthera,猎豹,9,9,9,10,10,9.4
penta,潘塔,5,20,20,25,30,20.0
phage,噬菌者,20,20,30,40,45,31.0
phantasma,幻离子,28,30,30,30,30,29.6
quanta,量子切割器,9,10,10,10,10,9.8
rubico,绝路,38,40,40,40,50,41.6
simulor,重力奇点拟成枪,8,12,20,30,30,20.0
snipetron,狙击特昂,5,10,10,10,15,10.0
sobek,鳄神,22,25,30,40,40,31.4
stradavar,斯特拉迪瓦,5,8,10,20,20,12.6
strun,斯特朗,50,80,80,80,98,77.6
sybaris,席芭莉丝,50,50,50,50,55,51.0
tetra,特拉,20,21,30,30,35,27.2
gammacor,咖玛腕甲枪,20,25,30,35,35,29.0
nukor,努寇微波枪,40,40,40,45,45,42.0
pandero,手鼓,9,10,10,15,15,11.8
pox,脓痘,10,10,15,15,15,13.0
pyrana,食人鱼,17,20,30,50,50,33.4
sicarus,暗杀者,50,55,60,68,70,60.6
spira,旋刃飞刀,10,19,20,30,30,21.8
dehtat,德塔特,10,15,20,20,25,18.0
destreza,技巧之剑,10,15,15,20,25,17.0
dex_dakra,Dex 达克拉双剑,5,10,15,20,30,16.0
dokrahm,多克拉姆,15,20,20,20,23,19.6
dragon_nikana,龙之侍刃,15,15,20,25,30,21.0
dual_cleavers,斩肉双刀,12,14,15,15,19,15.0
dual_ether,苍穹双剑,25,30,45,50,100,50.0
dual_heat_swords,烈焰双剑,10,10,10,10,10,10.0
dual_ichor,恶脓双斧,119,120,120,120,125,120.8
dual_keres,凯瑞斯双刀,1,19,20,20,20,16.0
kama,短柄战镰,6,10,15,20,20,14.2
kogake,科加基,10,10,15,20,25,16.0
multron,多连穿甲枪,20,30,30,30,35,29.0
vulcax,金工火舌,30,30,35,40,50,37.0
masseter,咀嚼金棒,13,15,16,25,30,19.8
pathocyst,病囊飞刃,20,20,20,30,31,24.2
kuva_chakkhurr,赤毒·邪眼,18,20,20,30,30,23.6
lecta,勒克塔,30,35,40,50,50,41.0
machete,马谢特砍刀,7,15,20,40,60,28.4
magistar,执法者,500,500,520,549,550,523.8
mewan,密丸,15,20,20,20,20,19.0
mios,牡狮神,10,10,12,15,20,13.4
rabvee,拉比威,49,50,60,70,80,61.8
war,战争之剑,25,28,50,70,83,51.2
artax,阿塔克斯,35,35,35,39,50,38.8
burst_laser,激光点发,20,20,30,40,40,30.0
deth_machine_rifle,死亡机枪,40,45,50,50,50,47.0
laser_rifle,激光步枪,30,40,50,50,50,44.0
astilla,碎裂者,5,6,10,10,10,8.2
baza,苍鹰,18,20,20,20,20,19.6
boar,野猪,20,80,90,95,98,76.6
flux_rifle,通量步枪,10,12,15,15,20,14.4
cronus,克洛诺斯,10,12,20,20,20,16.4
endura,三叶坚韧,15,15,20,25,30,21.0
glaive,战刃,280,290,298,298,298,292.8
heat_sword,烈焰长剑,9,10,10,10,15,10.8
jat_kusar,喷射锁镰,20,20,30,40,50,32.0
nami_skyla,海波斯库拉对剑,15,15,20,20,20,18.0
nami_solo,海波单剑,29,30,50,50,50,41.8
nikana,侍刃,40,50,80,80,80,66.0
ninkondi,降灵追猎者,18,20,20,45,45,29.6
obex,奥比克斯,10,11,15,15,15,13.2
ohma,欧玛,20,20,20,24,25,21.8
okina,翁,60,62,62,68,70,64.4
ooltha,乌尔萨,5,10,10,10,19,10.8
orthos,欧特鲁斯,15,24,45,45,70,39.8
orvius,灵枢,10,14,15,15,20,14.8
pangolin_sword,鲮鲤剑,15,15,15,20,20,17.0
plague_keewar,瘟疫 奇沃,5,5,6,10,15,8.2
plague_kripath,瘟疫 克里帕丝,15,19,20,20,20,18.8
plasma_sword,等离子长剑,10,15,15,20,35,19.0
prova,普罗沃,10,10,15,15,15,13.0
redeemer,救赎者,20,25,25,30,35,27.0
skana,空刃,80,84,95,100,100,91.8
harpak,哈帕克,10,10,10,10,10,10.0
hema,血肢,9,10,15,15,20,13.8
hind,雌鹿,15,15,15,15,15,15.0
ignis,伊格尼斯,15,30,30,30,30,27.0
javlok,燃焰标枪,9,15,15,15,17,14.2
karak,卡拉克,10,19,20,22,30,20.2
kohm,寇恩热能枪,8,10,20,20,20,15.6
lanka,兰卡,10,10,15,15,15,13.0
paris,帕里斯,30,30,35,43,50,37.6
quartakk,夸塔克,9,10,15,15,15,12.8
scourge,祸根,8,12,15,15,20,14.0
spectra,光谱切割器,9,10,15,15,15,12.8
staticor,静电能量导引枪,10,10,10,15,20,13.0
stubba,史度巴,5,5,10,10,10,8.0
stug,史特克,10,15,41,45,80,38.2
talons,鹰爪,5,10,10,11,15,10.2
twin_grakatas,双子葛拉卡达,10,10,12,20,25,15.4
twin_gremlins,双子小精灵,5,10,20,25,30,18.0
twin_kohmak,双子寇恩霰机枪,10,10,15,20,20,15.0
twin_rogga,双子罗格,8,20,20,20,26,18.8
twin_vipers,双子蝰蛇,10,10,20,20,27,17.4
tysis,啐沫者,15,20,20,20,25,20.0
vasto,瓦斯托,30,30,30,30,35,31.0
viper,蝰蛇,10,20,20,20,40,22.0
zylok,席尔火枪,20,29,29,30,60,33.6
dakra_prime,达克拉 Prime,15,20,25,25,25,22.0
dark_dagger,暗黑匕首,40,40,45,50,50,45.0
kuva_twin_stubbas,赤毒·双子史度巴,10,20,30,50,60,34.0
pennant,尖幡,20,20,29,40,40,29.8
kuva_bramma,赤毒·布拉玛,30,30,30,35,40,33.0
stropha,诡计之刃,18,20,20,20,30,21.6
morgha,置灵者,20,30,45,45,50,38.0
catabolyst,异化者,10,15,15,18,20,15.6
hikou,飞扬,10,10,10,20,20,14.0
knell,丧钟,15,15,19,20,20,17.8
kohmak,寇恩霰机枪,4,4,10,10,10,7.6
kraken,北海巨妖,15,15,15,15,16,15.2
kunai,苦无,29,30,30,35,38,32.4
lex,雷克斯,50,50,50,60,70,56.0
marelok,玛瑞火枪,10,10,15,15,15,13.0
broken_scepter,破损珽杖,20,20,20,25,30,23.0
dual_zoren,佐伦双斧,8,10,10,12,14,10.8
ether_daggers,苍穹匕首,20,20,20,30,30,24.0
ether_reaper,苍穹死神,19,20,20,20,20,19.8
ether_sword,苍穹之剑,8,10,10,10,15,10.6
fang,狼牙,10,15,15,15,15,14.0
furax,弗拉克斯,45,48,50,60,70,54.6
karyst,凯洛斯特,15,20,20,20,25,20.0
stinger,毒刺,29,30,30,35,35,31.8
vulklok,金工火枪,20,20,25,25,30,24.0
catchmoon,捕月,9,10,10,20,20,13.8
plinx,漫射者,20,20,22,25,30,23.4
korrudo,库鲁多,10,15,15,19,19,15.6
fulmin,雷霆,30,30,38,39,40,35.4
cobra_and_crane,眼镜蛇 & 鹤,10,10,10,25,30,17.0
komorex,猛毒,12,15,19,20,20,17.2
cyanex,氰毒,10,14,15,18,20,15.4
tatsu,龙辰,10,15,20,25,28,19.6
cyngas,合成燃气炮,20,20,20,20,20,20.0
larkspur,翠雀,25,30,40,50,50,39.0
imperator,凯旋将军,22,25,49,70,80,49.2
corvas,黑鸦,69,70,199,288,299,185.0
phaedra,菲德菈,15,18,45,50,50,35.6
grattler,葛拉特勒,50,70,75,100,100,79.0
dual_decurion,什长双枪,99,100,100,130,185,122.8
attica,阿提卡,10,10,10,15,15,12.0
boltor,螺钉步枪,30,35,39,40,40,36.8
braton,布莱顿,30,34,35,39,40,35.6
corinth,科林斯,9,9,9,14,20,12.2
ferrox,铁晶磁轨炮,19,20,20,25,30,22.8
hek,海克,18,30,30,30,30,27.6
ogris,食人女魔,70,80,95,99,99,88.6
paracyst,附肢寄生者,9,10,10,10,10,9.8
supra,苏普拉,10,10,15,20,20,15.0
tenora,双簧管,10,10,12,20,20,14.4
tiberon,狂鲨,15,19,20,20,20,18.8
aklex,雷克斯双枪,5,5,10,15,20,11.0
akmagnus,麦格努斯双枪,8,10,10,20,20,13.6
aksomati,轻灵月神双枪,10,20,20,20,20,18.0
akstiletto,史提托双枪,8,8,13,15,15,11.8
akvasto,瓦斯托双枪,20,20,20,20,25,21.0
akzani,荒谬双枪,5,5,8,10,10,7.6
angstrum,安格斯壮,30,30,40,40,40,36.0
atomos,原子矿融炮,20,20,25,25,35,25.0
azima,方位角,10,10,15,15,15,13.0
bolto,螺钉手枪,5,9,10,10,10,8.8
brakk,布拉克,10,20,30,35,45,28.0
despair,绝望,25,30,30,35,35,31.0
dual_raza,锋月双斧,5,15,20,20,20,16.0
reaper_prime,收割者 Prime,19,19,20,20,20,19.6
ripkas,锐卡斯,20,30,40,40,40,34.0
dark_sword,暗黑长剑,10,15,20,20,20,17.0
kreska,直镐,10,25,25,25,30,23.0
velocitus,极速电磁步枪,60,70,80,100,100,82.0
fluctus,巨浪,20,24,30,40,50,32.8
quatz,夸兹,5,20,30,30,38,24.6
acceltra,迅发电浆炮,45,60,61,65,65,59.2
akarius,阿利乌双枪,25,29,30,35,40,31.8
tazicor,泰瑟步枪,15,18,20,30,30,22.6
cryotra,急冻喷枪,15,20,20,25,25,21.0
shedu,舍杜,45,50,50,50,60,51.0
cortege,送葬者,15,20,30,39,45,29.8
vitrica,金璃剑,10,20,20,20,20,18.0
pulmonars,感染连枷,15,15,15,20,25,18.0
bubonico,横痃重炮,20,30,30,30,40,30.0
proboscis_cernos,刺吸西诺斯,12,15,19,19,20,17.0
sporothrix,孢丝感染枪,30,30,40,50,50,40.0
arum_spinosa,疆南星刺,13,24,25,38,50,30.0
sarpa,蛇刃,5,15,20,20,30,18.0
scindo,分裂斩斧,18,20,20,20,20,19.6
scoliac,脊椎节鞭,10,13,18,20,20,16.2
sepfahn,瑟普梵,30,35,39,40,50,38.8
serro,电能斩锯,14,15,15,20,20,16.8
shaku,双节尺棍,3,10,10,15,15,10.6
sheev,希芙,10,15,20,30,45,24.0
